Company,Ticker,,,,
Reliance Industries Ltd.,RELIANCE.NS,,,,
HDFC Bank Ltd.,HDFCBANK.NS,,,,
Tata Consultancy Services Ltd.,TCS.NS,,,,
Bharti Airtel Ltd.,BHARTIARTL.NS,,,,
ICICI Bank Ltd.,ICICIBANK.NS,,,,
State Bank of India,SBIN.NS,,,,
Infosys Ltd.,INFY.NS,,,,
Bajaj Finance Ltd.,BAJFINANCE.NS,,,,
Hindustan Unilever Ltd.,HINDUNILVR.NS,,,,
ITC Ltd.,ITC.NS,,,,
Life Insurance Corporation of India,LICI.NS,,,,
Larsen & Toubro Ltd.,LT.NS,,,,
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,,,,
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,,,,
HCL Technologies Ltd.,HCLTECH.NS,,,,
Maruti Suzuki India Ltd.,MARUTI.NS,,,,
NTPC Ltd.,NTPC.NS,,,,
UltraTech Cement Ltd.,ULTRACEMCO.NS,,,,
Axis Bank Ltd.,AXISBANK.NS,,,,
Mahindra & Mahindra Ltd.,M&M.NS,,,,
Bajaj Finserv Ltd.,BAJAJFINSV.NS,,,,
Oil and Natural Gas Corporation Ltd.,ONGC.NS,,,,
Hindustan Aeronautics Ltd.,HAL.NS,,,,
Power Grid Corporation of India Ltd.,POWERGRID.NS,,,,
Titan Company Ltd.,TITAN.NS,,,,
Adani Enterprises Ltd.,ADANIENT.NS,,,,
Avenue Supermarts Ltd.,DMART.NS,,,,
Wipro Ltd.,WIPRO.NS,,,,
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS.NS,,,,
JSW Steel Ltd.,JSWSTEEL.NS,,,,
Coal India Ltd.,COALINDIA.NS,,,,
Asian Paints Ltd.,ASIANPAINT.NS,,,,
Tata Motors Ltd.,TATAMOTORS.NS,,,,
Nestle India Ltd.,NESTLEIND.NS,,,,
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,,,,
Adani Power Ltd.,ADANIPOWER.NS,,,,
Bharat Electronics Ltd.,BEL.NS,,,,
Trent Ltd.,TRENT.NS,,,,
InterGlobe Aviation Ltd.,INDIGO.NS,,,,
Indian Oil Corporation Ltd.,IOC.NS,,,,
Varun Beverages Ltd.,VBL.NS,,,,
Hindustan Zinc Ltd.,HINDZINC.NS,,,,
Siemens Ltd.,SIEMENS.NS,,,,
Tata Steel Ltd.,TATASTEEL.NS,,,,
Grasim Industries Ltd.,GRASIM.NS,,,,
Indian Railway Finance Corporation Ltd.,IRFC.NS,,,,
DLF Ltd.,DLF.NS,,,,
Vedanta Ltd.,VEDL.NS,,,,
SBI Life Insurance Company Ltd.,SBILIFE.NS,,,,
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,,,,
Pidilite Industries Ltd.,PIDILITIND.NS,,,,
Adani Green Energy Ltd.,ADANIGREEN.NS,,,,
Divi's Laboratories Ltd.,DIVISLAB.NS,,,,
Eicher Motors Ltd.,EICHERMOT.NS,,,,
Jio Financial Services Ltd.,JIOFIN.NS,,,,
Hindalco Industries Ltd.,HINDALCO.NS,,,,
Power Finance Corporation Ltd.,PFC.NS,,,,
Ambuja Cements Ltd.,AMBUJACEM.NS,,,,
Tech Mahindra Ltd.,TECHM.NS,,,,
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,,,,
Shriram Finance Ltd.,SHRIRAMFIN.NS,,,,
LTIMindtree Ltd.,LTIM.NS,,,,
Cholamandalam Investment & Finance Company Ltd.,CHOLAFIN.NS,,,,
Bharat Petroleum Corporation Ltd.,BPCL.NS,,,,
Bank of Baroda,BANKBARODA.NS,,,,
Britannia Industries Ltd.,BRITANNIA.NS,,,,
Godrej Consumer Products Ltd.,GODREJCP.NS,,,,
Tata Power Company Ltd.,TATAPOWER.NS,,,,
Macrotech Developers Ltd.,LODHA.NS,,,,
TVS Motor Company Ltd.,TVSMOTOR.NS,,,,
GAIL (India) Ltd.,GAIL.NS,,,,
Cipla Ltd.,CIPLA.NS,,,,
Indian Hotels Company Ltd.,INDHOTEL.NS,,,,
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,,,,
Punjab National Bank,PNB.NS,,,,
Shree Cements Ltd.,SHREECEM.NS,,,,
Max Healthcare Institute Ltd.,MAXHEALTH.NS,,,,
ABB India Ltd.,ABB.NS,,,,
Tata Consumer Products Ltd.,TATACONSUM.NS,,,,
REC Ltd.,RECLTD.NS,,,,
United Spirits Ltd.,MCDOWELL-N.NS,,,,
Adani Energy Solutions Ltd.,ADANIENSOL.NS,,,,
Mazagon Dock Shipbuilders Ltd.,MAZDOCK.NS,,,,
Mankind Pharma Ltd.,MANKIND.NS,,,,
Solar Industries India Ltd.,SOLARINDS.NS,,,,
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,,,,
Indus Towers Ltd.,INDUSTOWER.NS,,,,
Muthoot Finance Ltd.,MUTHOOTFIN.NS,,,,
Union Bank of India,UNIONBANK.NS,,,,
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,,,,
Havells India Ltd.,HAVELLS.NS,,,,
ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS,,,,
Lupin Ltd.,LUPIN.NS,,,,
JSW Energy Ltd.,JSWENERGY.NS,,,,
CG Power and Industrial Solutions Ltd.,CGPOWER.NS,,,,
Marico Ltd.,MARICO.NS,,,,
Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,,,,
Jindal Steel & Power Ltd.,JINDALSTEL.NS,,,,
GMR Airports Ltd.,GMRAIRPORT.NS,,,,
SRF Ltd.,SRF.NS,,,,
IDBI Bank Ltd.,IDBI.NS,,,,
Samvardhana Motherson International Ltd.,MOTHERSON.NS,,,,
HDFC Asset Management Company Ltd.,HDFCAMC.NS,,,,
NHPC Ltd.,NHPC.NS,,,,
Info Edge (India) Ltd.,NA,,,,
Canara Bank,CANBK.NS,,,,
Dabur India Ltd.,DABUR.NS,,,,
NTPC Green Energy Ltd.,NTPCGREEN.NS,,,,
SBI Cards and Payment Services Ltd.,SBICARD.NS,,,,
Bosch Ltd.,BOSCHLTD.NS,,,,
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS,,,,
Dixon Technologies (India) Ltd.,DIXON.NS,,,,
Cummins India Ltd.,CUMMINSIND.NS,,,,
Torrent Power Ltd.,TORNTPOWER.NS,,,,
Swiggy Ltd.,SWIGGY.NS,,,,
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,,,,
Polycab India Ltd.,POLYCAB.NS,,,,
Suzlon Energy Ltd.,SUZLON.NS,,,,
BSE Ltd.,BSE.NS,,,,
Bharat Heavy Electricals Ltd.,BHEL.NS,,,,
Indian Bank,INDIANB.NS,,,,
Bharti Hexacom Ltd.,NA,,,,
Hero MotoCorp Ltd.,HEROMOTOCO.NS,,,,
Rail Vikas Nigam Ltd.,RVNL.NS,,,,
Persistent Systems Ltd.,PERSISTENT.NS,,,,
General Insurance Corporation of India,GICRE.NS,,,,
Indian Overseas Bank,IOB.NS,,,,
PB Fintech Ltd.,POLICYBZR.NS,,,,
Patanjali Foods Ltd.,PATANJALI.NS,,,,
Colgate-Palmolive (India) Ltd.,COLPAL.NS,,,,
Oracle Financial Services Software Ltd.,OFSS.NS,,,,
Adani Total Gas Ltd.,ATGL.NS,,,,
Lloyds Metals & Energy Ltd.,NA,,,,
JSW Infrastructure Ltd.,NA,,,,
Aurobindo Pharma Ltd.,AUROPHARMA.NS,,,,
Godrej Properties Ltd.,GODREJPROP.NS,,,,
Waaree Energies Ltd.,WAAREEENER.NS,,,,
Abbott India Ltd.,ABBOTINDIA.NS,,,,
Ashok Leyland Ltd.,ASHOKLEY.NS,,,,
Berger Paints (India) Ltd.,BERGEPAINT.NS,,,,
Coromandel International Ltd.,COROMANDEL.NS,,,,
Oil India Ltd.,OIL.NS,,,,
Alkem Laboratories Ltd.,ALKEM.NS,,,,
NMDC Ltd.,NMDC.NS,,,,
Indian Railway Catering & Tourism Corporation Ltd.,IRCTC.NS,,,,
Phoenix Mills Ltd.,PHOENIXLTD.NS,,,,
Vodafone Idea Ltd.,IDEA.NS,,,,
Oberoi Realty Ltd.,OBEROIRLTY.NS,,,,
Hitachi Energy India Ltd.,POWERINDIA.NS,,,,
YES Bank Ltd.,YESBANK.NS,,,,
IndusInd Bank Ltd.,INDUSINDBK.NS,,,,
United Breweries Ltd.,UBL.NS,,,,
One97 Communications Ltd.,PAYTM.NS,,,,
Tube Investments of India Ltd.,TIINDIA.NS,,,,
Sundaram Finance Ltd.,SUNDARMFIN.NS,,,,
UPL Ltd.,UPL.NS,,,,
Bank of India,BANKINDIA.NS,,,,
FSN E-Commerce Ventures Ltd.,NYKAA.NS,,,,
PI Industries Ltd.,PIIND.NS,,,,
Kalyan Jewellers India Ltd.,KALYANKJIL.NS,,,,
Linde India Ltd.,LINDEINDIA.NS,,,,
Aditya Birla Capital Ltd.,ABCAPITAL.NS,,,,
Bharat Forge Ltd.,BHARATFORG.NS,,,,
Bharat Dynamics Ltd.,BDL.NS,,,,
